,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
48,48,0.009220711886882782,2023-11-07 17:28:59.422792,2023-11-07 17:29:00.281060,0 days 00:00:00.858268,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.004876616289223512,4,39,51.0,18.0,25.0,,COMPLETE
49,49,0.0020184749737381935,2023-11-07 17:29:00.281867,2023-11-07 17:29:02.005999,0 days 00:00:01.724132,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.01636984334051964,5,100,65.0,30.0,96.0,61.0,COMPLETE
50,50,0.011808207258582115,2023-11-07 17:29:02.006882,2023-11-07 17:29:02.687348,0 days 00:00:00.680466,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.008697312919685743,4,2,41.0,38.0,8.0,,COMPLETE
51,51,0.0010909180855378509,2023-11-07 17:29:02.688246,2023-11-07 17:29:03.544990,0 days 00:00:00.856744,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.006750971144999282,4,54,55.0,32.0,15.0,,COMPLETE
52,52,0.0011378752533346415,2023-11-07 17:29:03.545930,2023-11-07 17:29:04.525561,0 days 00:00:00.979631,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.00672045128333155,4,55,72.0,33.0,13.0,,COMPLETE
53,53,0.0014521080302074552,2023-11-07 17:29:04.526527,2023-11-07 17:29:05.377701,0 days 00:00:00.851174,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,,0.007214758866006611,3,64,69.0,33.0,,,COMPLETE
54,54,0.041106805205345154,2023-11-07 17:29:05.378572,2023-11-07 17:29:06.464194,0 days 00:00:01.085622,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.01775455567756129,4,57,91.0,47.0,1.0,,COMPLETE
55,55,0.0013343136524781585,2023-11-07 17:29:06.465250,2023-11-07 17:29:07.858831,0 days 00:00:01.393581,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.011354563669356636,5,53,73.0,29.0,14.0,37.0,COMPLETE
56,56,0.010331208817660809,2023-11-07 17:29:07.859606,2023-11-07 17:29:09.100495,0 days 00:00:01.240889,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.0027951092009958927,4,70,85.0,40.0,6.0,,COMPLETE
57,57,0.006129058543592691,2023-11-07 17:29:09.101306,2023-11-07 17:29:09.404002,0 days 00:00:00.302696,<class 'torch.nn.modules.activation.ReLU'>,,,,,0.0059725724312739426,1,53,,,,,COMPLETE
58,58,0.001160452957265079,2023-11-07 17:29:09.404644,2023-11-07 17:29:10.160986,0 days 00:00:00.756342,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.009449895053281377,4,45,24.0,34.0,13.0,,COMPLETE
59,59,0.001284279627725482,2023-11-07 17:29:10.161912,2023-11-07 17:29:11.147800,0 days 00:00:00.985888,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.003987924101239253,5,64,15.0,59.0,27.0,14.0,COMPLETE
60,60,0.0012655522441491485,2023-11-07 17:29:11.148601,2023-11-07 17:29:12.139217,0 days 00:00:00.990616,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.015308743292870191,5,55,33.0,44.0,6.0,57.0,COMPLETE
61,61,0.0013828056398779154,2023-11-07 17:29:12.139971,2023-11-07 17:29:12.888490,0 days 00:00:00.748519,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.0047988122019303955,4,7,55.0,23.0,20.0,,COMPLETE
62,62,0.0010982161620631814,2023-11-07 17:29:12.889281,2023-11-07 17:29:13.642927,0 days 00:00:00.753646,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.006613756996103951,4,15,60.0,20.0,19.0,,COMPLETE
63,63,0.0011371003929525614,2023-11-07 17:29:13.643961,2023-11-07 17:29:14.467294,0 days 00:00:00.823333,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.00659630394758981,4,29,63.0,27.0,11.0,,COMPLETE
